type,id,status,description,amount,account,balance,direction,class,institution,postDate
transaction,5e6dfe07-a185-4667-b37a-f02bcca7f686,posted,TRANSFER TO JOANNA SMITH CAMPING,-4946.38,aa300f01-5510-4630-aa64-6929950d4991,3519.43,debit,cash-withdrawal,AU00000,2024-04-26T03:03:05Z
transaction,f0e7bf4b-9315-4a91-a1db-1b61e46d521d,posted,Mobile Phone Bill Payment,-4971.42,1ffe8997-55c9-4c3d-8819-f0e9cdbd2035,-1451.99,debit,bank-fee,AU00000,2023-12-15T19:57:00Z
transaction,18a01ec8-9f58-4eb8-9f90-5a6e7a5283a5,posted,Online Gaming Purchase,-599.84,6828123a-0f0e-454a-beb2-ed4ceb84db10,-2051.83,debit,payment,AU00000,2024-03-12T08:40:03Z
transaction,8b363d18-d55e-4808-ad93-6ffb73dd5fc4,posted,Bookstore Purchase,-2763.54,252484a4-9203-445d-a864-05936fba42ee,-4815.37,debit,payment,AU00000,2023-06-10T14:01:46Z
transaction,c0f11edc-a337-48a3-857d-dd0fe9d8d6b0,posted,Uber Ride,-3736.73,8ecc76a2-501c-4603-8199-78814bce9eb9,-8552.1,debit,payment,AU00000,2024-05-08T22:19:49Z
transaction,10b8313d-a93b-4e53-bae5-9bca9d4cc296,posted,Travel Agency Booking,-1396.17,0982a0fc-a80b-44ea-8fa6-c3f227085f16,-9948.27,debit,cash-withdrawal,AU00000,2023-07-07T10:41:17Z
transaction,9a51b5f3-4531-429e-9158-95dae9d8b6bc,posted,Non Hooli ATM Withdrawal Fee,-1363.51,fec324af-6925-4331-884d-a4527737c440,-11311.78,debit,bank-fee,AU00000,2023-08-17T02:41:52Z
transaction,a01db0a0-df97-4893-b856-de85cb545bf4,posted,TFR Acc14000 TO 12389,-4815.8,02f3930e-ced1-49eb-9cc5-f49a4c7e44de,-16127.58,debit,payment,AU00000,2024-02-01T04:10:28Z
transaction,dbe05c55-87f5-43bf-b560-6211d186125d,posted,Non Hooli ATM Withdrawal Fee,-88.42,317d162d-faa3-42fd-9cd7-5eb4e397b27b,-16216.0,debit,cash-withdrawal,AU00000,2023-05-28T20:47:56Z
transaction,9630a823-f729-432c-9fd1-9c30e1e5b884,posted,Online Gaming Purchase,-232.84,5fad628a-8882-47b7-8971-fd9f243cea6c,-16448.84,debit,payment,AU00000,2023-06-10T06:41:11Z
transaction,693ca3bc-53ec-4166-8230-8da539b559a3,posted,Car Maintenance Expense,-2452.58,fd9b491d-a695-48b9-9b93-a6b764e673c1,4396.94,debit,payment,AU00000,2024-01-27T18:38:34Z
transaction,83c9313d-bfcf-4d50-8c8c-03b24861c804,posted,Music Streaming Subscription,-2194.35,a646bb43-baef-479a-8266-e63f2da0a249,2202.59,debit,payment,AU00000,2023-08-05T17:34:56Z
transaction,4b4bbab8-5a52-405e-a8df-a44ae75993e4,posted,Bookstore Purchase,-650.47,2e49596a-db50-4cb0-b0c2-2f3bc31d039e,1552.12,debit,payment,AU00000,2024-02-17T05:04:21Z
transaction,428c7fff-5097-4706-96b4-7ed9cde682de,posted,CTRLINK CARERS Ref: 998R6789201610974V,-2700.75,1136b74f-2e7f-4e2e-b835-4b60787ee589,-1148.63,debit,bank-fee,AU00000,2023-11-25T04:26:38Z
transaction,6b5bef63-8c41-43de-90e3-9204237bf0cc,posted,Mobile Phone Bill Payment,-4312.48,fa12b2cd-726c-4af3-acea-b6a5b8c38d76,-5461.11,debit,cash-withdrawal,AU00000,2023-08-08T13:38:06Z
transaction,dd7c46b7-74f9-4654-b651-2b3a11d10857,posted,Wdl ATM WESTPAC IGA BALGOWLAH BALGOWL AU,-4761.74,134e5f06-9095-4960-bbf0-096db5eaacd4,-10222.85,debit,cash-withdrawal,AU00000,2023-06-02T23:15:44Z
transaction,e0d7c578-c73e-4bb0-8210-4f4665865f40,posted,Pharmacy Purchase,-2523.26,f3494c89-4474-44ee-9ce2-c9ca5d62dbec,-12746.11,debit,bank-fee,AU00000,2023-09-10T18:36:03Z
